date,store_nbr,family,sales,onpromotion,city,state,type,year,month,day,day_of_week,is_weekend
2017-04-04,10,AUTOMOTIVE,5.0,0,Quito,Pichincha,C,2017,4,4,1,0
2017-04-04,1,BEAUTY,4.0,1,Quito,Pichincha,D,2017,4,4,1,0
2017-04-04,1,BABY CARE,0.0,0,Quito,Pichincha,D,2017,4,4,1,0
2017-04-04,1,AUTOMOTIVE,3.0,0,Quito,Pichincha,D,2017,4,4,1,0
2017-04-04,11,AUTOMOTIVE,15.0,2,Cayambe,Pichincha,B,2017,4,4,1,0
2017-04-05,11,BEAUTY,6.0,1,Cayambe,Pichincha,B,2017,4,5,2,0
2017-04-05,13,BABY CARE,0.0,0,Latacunga,Cotopaxi,C,2017,4,5,2,0
2017-04-05,13,AUTOMOTIVE,6.0,1,Latacunga,Cotopaxi,C,2017,4,5,2,0
2017-04-05,12,BEAUTY,6.0,0,Latacunga,Cotopaxi,C,2017,4,5,2,0
2017-04-05,12,BABY CARE,0.0,0,Latacunga,Cotopaxi,C,2017,4,5,2,0
2017-04-05,12,AUTOMOTIVE,3.0,1,Latacunga,Cotopaxi,C,2017,4,5,2,0
2017-04-05,11,BABY CARE,0.0,0,Cayambe,Pichincha,B,2017,4,5,2,0
2017-04-05,13,BEAUTY,0.0,0,Latacunga,Cotopaxi,C,2017,4,5,2,0
2017-04-05,10,BEAUTY,0.0,0,Quito,Pichincha,C,2017,4,5,2,0
2017-04-05,10,BABY CARE,0.0,0,Quito,Pichincha,C,2017,4,5,2,0
2017-04-05,10,AUTOMOTIVE,6.0,0,Quito,Pichincha,C,2017,4,5,2,0
2017-04-05,1,BEAUTY,1.0,0,Quito,Pichincha,D,2017,4,5,2,0
2017-04-05,1,BABY CARE,0.0,0,Quito,Pichincha,D,2017,4,5,2,0
2017-04-05,1,AUTOMOTIVE,5.0,0,Quito,Pichincha,D,2017,4,5,2,0
2017-04-05,11,AUTOMOTIVE,13.0,2,Cayambe,Pichincha,B,2017,4,5,2,0
2017-04-06,13,BABY CARE,0.0,0,Latacunga,Cotopaxi,C,2017,4,6,3,0
2017-04-06,13,AUTOMOTIVE,0.0,0,Latacunga,Cotopaxi,C,2017,4,6,3,0
